* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 17  7  30.000353        48.4545    0.0108         61.3905    0.0105          0.3240    0.0377    13.53  10     25.13     3.27   204.71354167075     76  54  10 S -0.338
 2021  7 23 17  8   0.000354        48.4551    0.0108         61.3911    0.0105          0.3203    0.0377    14.15  10     24.92     3.28   204.71388889298     77  54  10 S -0.339
 2021  7 23 17  8  30.000353        48.4577    0.0108         61.3906    0.0105          0.3313    0.0378    15.41  10     24.69     3.29   204.71423611520     78  54  10 S -0.339
 2021  7 23 17  9   0.000354        48.4578    0.0108         61.3884    0.0105          0.3269    0.0379    14.09  10     24.46     3.31   204.71458333743     79  54  10 S -0.339
 2021  7 23 17  9  30.000353        48.4570    0.0108         61.3880    0.0105          0.3285    0.0379    14.60  10     24.22     3.32   204.71493055965     80  54  10 S -0.340
 2021  7 23 17 10   0.000354        48.4582    0.0108         61.3870    0.0105          0.3275    0.0380    12.82  10     23.96     3.34   204.71527778188     81  54  10 S -0.340
 2021  7 23 17 10  30.000354        48.4559    0.0108         61.3864    0.0105          0.3227    0.0381    11.96  10     23.70     3.35   204.71562500409     82  54  10 S -0.341
 2021  7 23 17 11   0.000354        48.4541    0.0108         61.3836    0.0105          0.3194    0.0381    14.16  10     23.42     3.37   204.71597222632     83  54  10 S -0.341
 2021  7 23 17 11  30.000354        48.4560    0.0108         61.3820    0.0105          0.3057    0.0382    16.44  10     23.14     3.38   204.71631944854     84  54  10 S -0.342
 2021  7 23 17 12   0.000353        48.4521    0.0108         61.3796    0.0105          0.3021    0.0382    20.54  10     22.89     3.40   204.71666667076     85  54  10 S -0.342
 2021  7 23 17 12  30.000353        48.4528    0.0108         61.3813    0.0105          0.2977    0.0383    21.90  10     22.70     3.41   204.71701389297     86  54  10 S -0.342
 2021  7 23 17 13   0.000354        48.4530    0.0108         61.3840    0.0105          0.3052    0.0383    20.32  10     22.56     3.43   204.71736111520     87  54  10 S -0.343
 2021  7 23 17 13  30.000353        48.4532    0.0108         61.3860    0.0104          0.3184    0.0384    19.15  10     22.48     3.44   204.71770833742     88  54  10 S -0.343
 2021  7 23 17 14   0.000354        48.4524    0.0108         61.3867    0.0104          0.3158    0.0384    16.85  10     22.45     3.46   204.71805555965     89  54  10 S -0.344
 2021  7 23 17 14  30.000353        48.4506    0.0108         61.3857    0.0104          0.3185    0.0385    19.29  10     22.44     3.47   204.71840278187     90  54  10 S -0.344
 2021  7 23 17 15   0.000354        48.4541    0.0108         61.3882    0.0104          0.3195    0.0385    12.52  10     22.47     3.49   204.71875000410     91  54  10 S -0.345
 2021  7 23 17 15  30.000353        48.4559    0.0108         61.3884    0.0104          0.3332    0.0385    10.97  10     22.51     3.50   204.71909722631     92  54  10 S -0.345
 2021  7 23 17 16   0.000354        48.4572    0.0108         61.3906    0.0104          0.3365    0.0386    11.11  10     22.56     3.52   204.71944444854     93  54  10 S -0.345
 2021  7 23 17 16  30.000354        48.4591    0.0108         61.3893    0.0104          0.3364    0.0386    10.36  10     22.61     3.53   204.71979167076     94  54  10 S -0.346
 2021  7 23 17 17   0.000354        48.4599    0.0108         61.3904    0.0104          0.3400    0.0386    12.11  10     22.67     3.55   204.72013889299     95  54  10 S -0.346
 2021  7 23 17 17  30.000354        48.4565    0.0108         61.3891    0.0104          0.3376    0.0386     9.54  10     22.73     3.56   204.72048611521     96  54  10 S -0.346
 2021  7 23 17 18   0.000355        48.4573    0.0109         61.3886    0.0104          0.3413    0.0386    10.28  10     22.79     3.57   204.72083333744     97  54  10 S -0.346
 2021  7 23 17 18  30.000354        48.4578    0.0109         61.3897    0.0104          0.3514    0.0386     9.23  10     22.82     3.59   204.72118055965     98  54  10 S -0.347
 2021  7 23 17 19   0.000353        48.4611    0.0109         61.3893    0.0104          0.3612    0.0386    10.19  10     22.83     3.60   204.72152778187     99  54  10 S -0.347
 2021  7 23 17 19  30.000353        48.4577    0.0109         61.3891    0.0104          0.3510    0.0386    11.07  10     22.79     3.61   204.72187500408    100  54  10 S -0.347
 2021  7 23 17 20   0.000354        48.4587    0.0109         61.3888    0.0104          0.3540    0.0386    10.60  10     22.74     3.62   204.72222222632    101  54  10 S -0.347
 2021  7 23 17 20  30.000353        48.4519    0.0109         61.3892    0.0104          0.3386    0.0386    10.59  10     22.67     3.63   204.72256944853    102  54  10 S -0.347
 2021  7 23 17 21   0.000354        48.4553    0.0109         61.3874    0.0104          0.3264    0.0386    11.13  10     22.58     3.64   204.72291667076    103  54  10 S -0.347
 2021  7 23 17 21  30.000353        48.4553    0.0109         61.3868    0.0104          0.3288    0.0386    12.67  10     22.49     3.65   204.72326389298    104  54  10 S -0.347
 2021  7 23 17 22   0.000354        48.4567    0.0109         61.3845    0.0104          0.3195    0.0386    14.75  10     22.42     3.66   204.72361111521    105  54  10 S -0.348
 2021  7 23 17 22  30.000354        48.4562    0.0109         61.3837    0.0104          0.3032    0.0385    14.87  10     22.39     3.67   204.72395833742    106  54  10 S -0.348
 2021  7 23 17 23   0.000354        48.4566    0.0109         61.3840    0.0104          0.3152    0.0385    15.85  10     22.40     3.68   204.72430555966    107  54  10 S -0.348
 2021  7 23 17 23  30.000354        48.4552    0.0109         61.3821    0.0104          0.3092    0.0385    14.86  10     22.47     3.69   204.72465278187    108  54  10 S -0.348
 2021  7 23 17 24   0.000354        48.4555    0.0109         61.3836    0.0104          0.3114    0.0384    15.13  10     22.58     3.70   204.72500000410    109  54  10 S -0.348
 2021  7 23 17 24  30.000354        48.4536    0.0109         61.3855    0.0104          0.3079    0.0384    16.07  10     22.73     3.71   204.72534722632    110  54  10 S -0.348
 2021  7 23 17 25   0.000353        48.4522    0.0109         61.3857    0.0104          0.3098    0.0384    14.64  10     22.94     3.72   204.72569444853    111  54  10 S -0.348
